Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
P1,Practice,2024-04-26 12:00:00 -0400 EDT,3940,FALSE,1720,FALSE,6721,FALSE,3890,FALSE,3176,FALSE,3494,FALSE
P2,Practice,2024-04-26 12:06:00 -0400 EDT,7617,FALSE,1741,FALSE,135,FALSE,447,FALSE,4580,FALSE,71,FALSE
P3,Practice,2024-04-26 12:12:00 -0400 EDT,3947,FALSE,5484,FALSE,2909,FALSE,234,FALSE,1501,FALSE,4485,FALSE
P4,Practice,2024-04-26 12:18:00 -0400 EDT,45,FALSE,5188,FALSE,1555,FALSE,829,FALSE,7657,FALSE,7454,FALSE
P5,Practice,2024-04-26 12:24:00 -0400 EDT,1741,FALSE,3494,FALSE,5484,FALSE,3947,FALSE,3176,FALSE,7617,FALSE
P6,Practice,2024-04-26 12:30:00 -0400 EDT,1555,FALSE,4485,FALSE,829,FALSE,6721,FALSE,234,FALSE,447,FALSE
P7,Practice,2024-04-26 12:36:00 -0400 EDT,3940,FALSE,1501,FALSE,45,FALSE,135,FALSE,1720,FALSE,5188,FALSE
P8,Practice,2024-04-26 12:42:00 -0400 EDT,3890,FALSE,7454,FALSE,4580,FALSE,71,FALSE,7657,FALSE,2909,FALSE
