Type,Match,Blue1,Blue2,Blue3,Red1,Red2,Red3
Practice,1,3890,3176,3494,3940,1720,6721
Practice,2,447,4580,71,7617,1741,135
Practice,3,234,1501,4485,3947,5484,2909
Practice,4,829,7657,7454,45,5188,1555
Practice,5,3947,3176,7617,1741,3494,5484
Practice,6,6721,234,447,1555,4485,829
Practice,7,135,1720,5188,3940,1501,45
Practice,8,71,7657,2909,3890,7454,4580
